"Story","Title","Result","Date","Stability","Duration (s)"
"Add product to cart","Add product to cart success","PENDING","2023-07-04T16:09:48.6594441-05:00[America/Bogota]","0.0","0.22"
"Add product to cart","Add product to cart success","SUCCESS","2023-07-05T18:41:06.7426426-05:00[America/Bogota]","0.0","85.08"
